NO,Nama jamu,Khasiat,jumlah_kata
1,Galian Rapat Wangi,"['kurang', 'bau', 'badan', 'kurang', 'bau', 'sedap', 'rapet', 'keset', 'area', 'wanita']",10
2,Empot-empot legit,"['kurang', 'lendir', 'lebih', 'atas', 'putih', 'timbul', 'sensasi', 'denyut', 'hubung']",9
3,galian singset,"['kurang', 'lemak', 'tubuh', 'tambah', 'nafsu', 'makan', 'lancar', 'bab']",8
4,jamu kecantikan,"['awat', 'khusus', 'remaja', 'putri', 'kurang', 'bau', 'badan', 'atas', 'putih']",9
5,jamu galian montok,"['tambah', 'nafsu', 'makan']",3
6,jamu terlambat bulan (lancar darah),"['kurang', 'nyeri', 'haid', 'lancar', 'edar', 'darah', 'atur']",7
7,jamu melancarkan asi (pejje),"['lancar', 'keluar', 'asi']",3
8,serbuk wasiat dan butiran delima,"['atas', 'putih', 'lendir', 'lebih', 'area', 'wanita']",6
9,parfum rempah,"['segar', 'bau', 'badan', 'aroma', 'khas', 'rempah', 'khas']",7
10,cebokan rempah,"['atas', 'putih', 'gatal', 'akibat', 'bakteri', 'jamur']",6
11,pancuran nikmat,"['antiseptik', 'wanita', 'bilas']",3
12,sabun kesed,"['sabun', 'khusus', 'wanita', 'atas', 'putih']",5
13,v-spa rempah,"['detoksifikasi', 'wanita', 'bebas', 'putih', 'bau', 'sedap']",6
14,jamu bersalin,"['awat', 'khusus', 'pasca', 'lahir', 'kembali', 'tubuh', 'lancar', 'asi', 'cegah', 'timbul', 'varises']",11
15,paket perawatan pranikah,"['kurang', 'bau', 'badan', 'kulit', 'bersih', 'cerah']",6
16,1 paket ramuan khusus wanita,"['awat', 'khusus', 'wanita', 'jaga', 'tubuh', 'prima', 'hubung', 'suami', 'istri', 'mesra']",10
17,jamu penyubur kandungan,"['subur', 'kandung']",2
18,cemceman rambut,"['atas', 'ketombe', 'rontok', 'rambut']",4
19,minyak bulus,"['encang', 'kulit', 'area', 'khusus', 'intim', 'pria', 'wanita', 'pasutri']",8
20,minyak zaitun,"['rawat', 'encang', 'halus', 'kulit', 'muka', 'tubuh']",6
21,lulur rempah,"['kulit', 'bersih', 'cerah']",3
22,bedak dingin,"['masker', 'bengkoang', 'cerah', 'wajah', 'pudar', 'bekas', 'jerawat', 'kecil', 'pori']",9
23,pegal linu,"['kurang', 'capek', 'nyeri', 'sendi', 'lancar', 'edar', 'darah']",7
24,jamu pembersih darah,"['atas', 'gatal', 'gatal', 'alergi', 'kulit']",5
25,jamu kencing manis,"['turun', 'kadar', 'gula', 'darah']",4
26,bumbu minuman pokak,"['minum', 'herbal', 'bahan', 'jahe', 'emprit']",5
27,1 paket jamu suami istri,"['harmonis', 'hubung', 'intim', 'suami', 'istri']",5
28,Jamu ma'jun super (plus madu),"['tambah', 'stamina', 'hubung', 'tambah', 'otot', 'lancar', 'edar', 'darah']",8
29,jamu jantan super,"['jaga', 'stamina', 'tubuh', 'fit', 'hubung']",5
30,jamu aktivitas,"['tambah', 'stamina', 'khusus', 'kerja', 'berat', 'suplemen', 'khusus', 'tambah', 'stamina', 'pria', 'hubung']",11
31,jamu darah tinggi,"['turun', 'tekan', 'darah']",3
32,1 paket ramuan khusus pria,"['suplemen', 'kuat', 'khusus', 'pria', 'jaga', 'stamina', 'sehat', 'tubuh']",8
33,Jamu Tradisional Madura,"['sehat', 'bau', 'badan', 'putih']",4
34,Bom,"['kuat', 'hubung', 'pegal', 'pegal']",4
35,Jamu Hitam,['sakit'],1
36,Jamu Pelintiran darah tinggi,"['turun', 'tekan', 'darah', 'menetralisir', 'sirkulasi', 'jantung', 'normal', 'jantung']",8
37,Empot-empot Super,"['pulih', 'elastisitas', 'organ', 'intim', 'wanita', 'encang', 'otot', 'miss', 'v', 'encang', 'payudara', 'encang', 'kulit', 'shg', 'muda', 'tambah', 'gairah', 'semangat', 'hubung', 'suami', 'istri', 'hilang', 'gatal', 'miss', 'v']",25
38,Jamu selokarang,"['turun', 'pusing', 'panas', 'sakit', 'gigi', 'tenggorok']",6
39,Jamu Bengkes,"['awet', 'muda', 'wajah', 'seri']",4
40,Empot Ayam Super,"['legit', 'halus', 'vagina', 'encang', 'otot', 'kendur', 'lahir', 'hilang', 'bau', 'gatal', 'atas', 'kb', 'wanita', 'frigid', 'suami', 'istri', 'harmonis']",17
41,Jamu Delima Putih,"['atas', 'putih', 'pektay']",3
42,Sariawan Sekalor,"['sembuh', 'radang', 'gusi', 'radang', 'tenggorok', 'sakit', 'gigi', 'sakit', 'kepala', 'amandel', 'ambeien', 'demam', 'kolesterol', 'mendetox', 'darah']",15
43,Galian Singset ( Susut Perut),"['langsing', 'badan', 'kecil', 'encang', 'perut', 'kendur', 'madat', 'tubuhmelancarkan', 'bab', 'wajah', 'segar', 'mudah', 'keriput', 'hilang', 'selulit']",15
44,Sehat Laki-laki Perkasa,"['tambah', 'stamina', 'tambah', 'hormon', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'mudah', 'masuk', 'angin', 'kental', 'sperma', 'cegah', 'ejakulasi']",16
45,Sari Rapet Empot-Empot,"['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']",16
46,Pluntur(Pelancar Darah),"['lancar', 'darah', 'hilang', 'pegal', 'linu', 'jaga', 'stamina', 'tubuh', 'kurang', 'angka', 'lahir']",11
47,Strong,"['tambah', 'stamina', 'tubuh', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'kental', 'sperma', 'cegah', 'ejakulasi', 'tahan']",13
48,Seger Montok,"['encang', 'montok', 'payudara', 'madat', 'tubuh', 'cerah', 'wajah', 'nafsu', 'makan', 'sehat', 'badan']",11
49,Rapet Wangi Spesial,"['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']",16
50,Tolak Angin,"['sembuh', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorok', 'kering', 'tambah', 'daya', 'tahan', 'tubuh']",12
51,Subur Kandungan,"['bantu', 'sehat', 'subur', 'kuat', 'kandung', 'jamu', 'ibuibu', 'gugur', 'sulit', 'hamil']",10
